,Command,regexp,Name/Nickname,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Total Frames,RBNorway Notes,Notes,Needs Trans,Engrish Notes,gfycat
,1,,Jab,h,7,10,+1,+8,+8,,,,,,
,2,,Right Jab,h,8,10,0,+6,+6,,,,,,
,3,,Croque-Monsieur (1),h,14,18~19,-9~-8,-4~-3,-4~-3,,,,,,
,4,,High Kick,h,15,13,-9,+7,Launch (JG?),41,,,,,
,"1, 1",,Straight Rondel (2),"h, h","7,7",10,-1,+5,+5,,,NC,,,
,"1, 2",,One Two Punch,"h, h","7,10",10,-3,+3,+3,,,NC,,,https://gfycat.com/NiftySelfishEland
,"1, 3",,Course Picante (2),"h, l","7,10",10,-16~-15,-5~-4,-5~-4,,,NC,,,
,"1, 4",,Course Sarat,"h, h","7,15",10,-6,+5,Launch (JG?),,,NC,,,https://gfycat.com/ReliableVillainousGalapagosalbatross
,"2, 1",,Barista Swirl (2),"h, m","8,10",10,-4~-2,+4~+6,+7~+9,,,NC,,,
,"3, 4",,Croque-Monsieur,"h, m (TJ)","14,17",js18~,-10~-5s,+4~+9s,KND,,,"Low Crush 18F, Force Crouch, NC, Active extra 2F",,,https://gfycat.com/UnnaturalMealyGallowaycow
,"4, 3",,Sparkling Hop (2),"h, m","15,12",13,-8~-7,+3~+4,+3~+4,,,,,,
,"1, 1, 2",,Straight Rondel,"h, h, h","7,7,12",10,-12,+3,+3,,,NC,,,https://gfycat.com/WindyTatteredBantamrooster
,"1, 3, 3",,Course Picante,"h, l, m","7,10,18",10,-14~-13,-6~-5,KND,,,"NCC 2nd hit, Delay window 11F, CH confirm window 5F",,,https://gfycat.com/ComplexUntriedFennecfox
,"2, 1, 4",,Barista Swirl,"h, m, m (TJ)","8,10,20",js12~,-4~-3,KND,KND,,,"Low Crush 12F, NCC 2nd hit",,,https://gfycat.com/ObedientBlondFox
,in rage d/f+1+2,df1\+2,Rage Art,m,55,20 pc8~17,-22,KND,KND,,Rage art,Armor 8-17F,,,https://gfycat.com/LinearNaturalBeauceron
,"in rage f, f, F+3+4* or WR+3+4*",fff3\+4\*,Rage Drive,"m (TJ), m (TJ)","27,20",26,+2,KND(KND),KND(KND),,,"Low Crush 15F, Force Crouch on block",,,
,"in rage f, f, F+3+4*, f or WR+3+4*, f",fff3\+4\*f,Rage Drive to BAL,"m (TJ), m (TJ), (Special) (TC)(BAL)","27,20s",26,+9,KND(KND),KND(KND),,,"Low Crush 15F, Force Crouch on block",,,https://gfycat.com/FalseWeightyFrilledlizard
,"1, 2, 1+2",,Fast Break,"h, h, m","7,10,20",10,-13~-12,+9~+10k,KND,,Tail spin,"Tail spin, NCC 2nd hit, Delay window 10F, CH confirm window7F",,,https://gfycat.com/HarmfulOddballArctichare
,"1, d+4",,Course Achuto,"h, l","7,13",10,-12,-1,-1,,,NC,,,https://gfycat.com/EthicalAmpleIndianrhinoceros
,"4, 3, 3+4",,Sparkling Hop,"h, m, m (TJ)","15,12,14",js17~,-5~0s,KND,KND,,,"Low Crush 17F, Force Crouch on block, Active extra 4F",,,https://gfycat.com/FearfulDefiniteArcherfish
,1+2,,Black Poêlé (1),m,18,19~20,-13~-12s,0~+1s,0~+1s,,,Force Crouch,,,
,"1+2, 1+2",,Black Poêlé,"m, m","18,20",19~20,-20~-19,KND,KND,,,"NC, Delay window 21F, CH confirm window20F",,,https://gfycat.com/ValuableMagnificentJavalina
,"1+2, F",,Black Poêlé (1) to SB,"m, (Special) (TC)(BAL)",18,19~20s,+4~+5s,+17~+18s,+17~+18s,,,"High Crush, Ends in FC, Force Crouch",,,
,"1+2, F (After stance ends)",1\+2f,,"m, (Special) (TC)(BAL)",18,19~20s,-19~-18s,-6~-5s,-6~-5s,,,,,,
,"1+2, B",,Black Poêlé (1) to RSB,"m, (Special) (TC)(BAL)",18,19~20s,-36~-35s,-23~-22s,-23~-22s,,,"High Crush, Ends in FC, Force Crouch",,,
,f+2,,Circle Whopper (1),h,12,12,-8,+3,+3,,,,,,
,"f+2, 3",,Circle Whopper,"h, m","12,20",12,-15~-14,KND,KND,,,"NC, Delay window 10F, Confirm window 10F",,,https://gfycat.com/BestThatArctichare
,f+3,,Merguez Kick Combo (1),m,18,21~27,-4~+2,0~+6s,+8~+14s,,,"Force Crouch on hit, Active extra 3F",,,
,"f+3, 4",,Merguez Kick Combo,"m, m","18,23",21~27,-11~-10,KND,CS,,,"NCC, Delay window 7F",,,https://gfycat.com/OldDecimalAnkolewatusi
,f+4,,Spinning Linguine,h,20,16~17,-6~-5,KND,KND(Throw),50,"Homing, Tail spin","Homing, Tail spin, Dmg in parentheses upon Hit Grab",,,https://gfycat.com/SpecificIncredibleBernesemountaindog
,f+1+2,,Giga Jacker,m,25,15~19 pc8~14,-13~-9,KND,KND,,Power crush,"Armor 8F, Active extra 2F",,,https://gfycat.com/IllImpressiveJabiru
,d/f+1,,Quick Upper,m,13,14~15,-3~-2,+5~+6,+5~+6,,,,,,
,"d/f+1,1+2",,Escalope Pound,"m,m","13,25",14~15,-12,KND,KND,,,"NCC, Delayable",,,
,"d/f+1, 2",,Escalope Elbow,"m, m","13,15",14~15,-10,+6,+6,,,"NC, Delay window 11F, CH confirm window 8F",,,https://gfycat.com/FrequentThunderousLemur
,d/f+2,,Slash Darne,m,14,15~16,-8~-7,+3~+4a,Launch (JG?),42,,,,,https://gfycat.com/HarmlessImaginativeCalf
,d/f+3,,Gaufrettes Cutter (1),m,14,18,-7,+4,+4,,,,,,
,"d/f+3, 1",,Gaufrettes Cutter (2),"m, h","14,11",18,-3,+8,+8,,,NC,,,
,"d/f+3, 1, 1",,Gaufrettes Cutter,"m, h, m","14,11,20",18,-10,+1,KND,,,"NCC 2nd hit, Delay window 10F, CH confirm window10F",,,https://gfycat.com/FaithfulFirsthandHart
,"d/f+3, 2",,Gaufrettes Punch,"m, h","14,20",18,-9~-8,KND,KND,,,NC,,,https://gfycat.com/DefiantGlumBeagle
